ssn,name,relationship,phone,student_ssn
99999999999999,"ahmed ali",father,01212121212,12345678912345
88888888888888,"ali mohmaed",father,01235555555,1234567891111
77777777777777,"ahmed ahmed",brother,01224444444,1234567892222
44444444444444,"ali amr",uncle,0144444444,1234567893333
5555555555555,"amr amr",father,01233333333,1234567894444
66666666666666,"amr ali",father,01525555555,1234567895555
11111111111111,"ali ali",father,22222222,1234567896666
22222222222222,"aya ali",mother,01222222222,1234567897777
33333333333333,"ali ibrahim",brother,01111111111,1234567898888
12312312312312,"wael ahmed",father,01201222222,1234567899999
NULL,NULL,,NULL,NULL
