student_ssn,subject_no,degree
12345678912345,7,25
1234567891111,7,20
1234567892222,3,25
1234567893333,7,17
1234567894444,1,60
1234567895555,1,54
1234567896666,2,45
1234567897777,1,40
1234567898888,7,18
1234567899999,7,20
1234567891111,1,55
1234567891111,2,45
1234567891111,3,45
12345678912345,3,28
12345678912345,2,50
12345678912345,1,50
1234567892222,2,30
1234567892222,1,60
1234567892222,7,25
1234567893333,1,53
1234567893333,2,30
1234567893333,3,26
1234567894444,3,27
1234567894444,2,28
1234567894444,7,30
1234567895555,2,26
1234567895555,3,25
1234567895555,4,40
1234567895555,5,30
1234567895555,6,25
1234567895555,7,25
1234567896666,7,24
1234567896666,6,25
1234567896666,5,35
1234567896666,4,35
1234567896666,3,30
1234567896666,1,45
1234567897777,7,26
1234567897777,2,45
1234567897777,3,40
1234567898888,3,45
1234567898888,2,45
1234567898888,1,59
1234567899999,1,58
1234567899999,2,50
1234567899999,3,50
